Keyword,Searches: Feb 2014,Searches: Mar 2014,Searches: Apr 2014,Searches: May 2014,Searches: Jun 2014,Searches: Jul 2014,Searches: Aug 2014,Searches: Sep 2014,Searches: Oct 2014,Searches: Nov 2014,Searches: Dec 2014,Searches: Jan 2015,Searches: Feb 2015,Searches: Mar 2015,Searches: Apr 2015,Searches: May 2015,Searches: Jun 2015,Searches: Jul 2015,Searches: Aug 2015,Searches: Sep 2015,Searches: Oct 2015,Searches: Nov 2015,Searches: Dec 2015,Searches: Jan 2016
chemicals,8100,8100,8100,8100,5400,5400,8100,12100,9900,8100,6600,8100,8100,8100,8100,8100,6600,5400,9900,12100,9900,9900,8100,9900
chewing tobacco,14800,18100,18100,18100,18100,14800,14800,14800,18100,18100,14800,14800,14800,18100,18100,18100,14800,14800,18100,14800,18100,18100,14800,18100
child care,18100,18100,18100,18100,18100,18100,18100,18100,18100,14800,14800,22200,18100,22200,22200,22200,18100,22200,22200,22200,22200,18100,18100,22200
childrens clothing,4400,5400,4400,2900,2900,3600,5400,4400,3600,5400,5400,3600,4400,5400,3600,2900,2900,3600,4400,4400,4400,5400,4400,3600
childrens products,50,50,70,70,40,50,30,50,30,30,40,50,40,50,40,30,30,30,40,40,40,20,20,40
chocolate,165000,135000,135000,135000,110000,110000,110000,110000,135000,135000,165000,165000,201000,135000,165000,246000,165000,201000,165000,135000,201000,246000,301000,246000
cigarette manufacturers,210,140,170,140,140,210,170,140,170,140,140,140,140,170,140,170,140,170,110,140,140,140,110,140
civil engineering,40500,40500,40500,40500,33100,33100,49500,60500,49500,49500,40500,49500,40500,49500,49500,49500,40500,40500,60500,74000,60500,60500,49500,60500
cleaning services,27100,33100,33100,33100,33100,33100,40500,40500,40500,33100,33100,40500,40500,49500,40500,40500,49500,49500,49500,49500,49500,40500,40500,49500
cleaning supplies,6600,8100,8100,60500,74000,60500,90500,60500,8100,6600,6600,8100,6600,8100,8100,8100,8100,8100,9900,9900,9900,9900,9900,12100
closed end funds,5400,5400,5400,5400,5400,5400,5400,5400,5400,5400,5400,6600,5400,5400,5400,5400,5400,5400,5400,5400,5400,5400,8100,8100
cloud computing,40500,40500,40500,33100,33100,27100,27100,40500,40500,33100,27100,33100,40500,33100,33100,27100,27100,27100,27100,40500,40500,33100,27100,33100
coal,49500,49500,49500,49500,27100,22200,22200,40500,49500,60500,90500,49500,49500,49500,49500,49500,27100,27100,27100,40500,49500,60500,90500,49500
coffee,165000,201000,165000,165000,165000,165000,165000,201000,201000,201000,201000,201000,201000,201000,201000,201000,201000,201000,246000,246000,246000,246000,301000,301000
coking coal,880,1000,1000,1000,880,880,880,1000,1000,1000,1000,880,720,880,720,720,720,880,720,590,590,590,590,590
