Keyword,Searches: Feb 2014,Searches: Mar 2014,Searches: Apr 2014,Searches: May 2014,Searches: Jun 2014,Searches: Jul 2014,Searches: Aug 2014,Searches: Sep 2014,Searches: Oct 2014,Searches: Nov 2014,Searches: Dec 2014,Searches: Jan 2015,Searches: Feb 2015,Searches: Mar 2015,Searches: Apr 2015,Searches: May 2015,Searches: Jun 2015,Searches: Jul 2015,Searches: Aug 2015,Searches: Sep 2015,Searches: Oct 2015,Searches: Nov 2015,Searches: Dec 2015,Searches: Jan 2016
WABASH NATIONAL,2900,2400,2400,2900,2900,2400,2400,2900,2900,2400,2400,3600,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,3600
MULTI COLOR,1600,1600,1300,1300,1300,1300,1300,1300,1300,1000,1000,1000,1000,1000,1000,1000,1000,880,1000,880,1000,880,880,880
CALGON CARBON,2400,2400,2400,2400,2400,2400,2400,2400,2400,1900,1600,2400,2400,2900,2900,2400,2400,2400,2400,2400,2400,1900,1900,2400
MACROGENICS,2400,2900,2900,2400,2400,2400,1900,1900,2400,1900,2400,2400,2400,2400,2400,1900,2400,2400,2900,2400,2900,2400,1900,2900
VASCULAR SOLUTIONS,2400,2400,2900,2400,1900,2400,1900,2900,2900,5400,2400,2900,2900,2900,2900,2400,2400,2400,2400,2400,2900,2400,1900,2900
MANTECH INTERNATIONAL,2400,2400,2400,1900,2400,2400,2400,2900,2400,2400,1900,2400,2900,3600,4400,3600,2400,2400,2400,2400,3600,1900,1900,1900
COEUR MINING,1600,1300,1300,1600,1000,1300,1300,1300,1600,1000,1300,1900,1900,1600,1600,1300,1600,1600,1900,1600,1600,1300,1000,1600
HERON THERAPEUTICS,880,880,720,1000,1300,1300,1000,880,1000,720,720,1000,1300,1600,1600,2900,4400,2400,2400,4400,2400,1900,1600,2900
BLOUNT INTERNATIONAL,1900,1900,1900,1900,1900,2400,1900,2400,2400,1900,1600,1900,2400,2900,2400,1900,2400,2400,2900,2400,2400,2400,4400,2900
WINNEBAGO INDUSTRIES,2400,2400,2400,2400,2400,2400,2400,2400,1900,1600,1600,2400,2400,2900,2400,2400,2900,2900,2900,2900,2900,2400,2900,2900
AERIE PHARMACEUTICALS,1000,1000,720,880,1600,1300,880,1300,1300,1000,1000,1600,1600,1600,5400,2400,2900,1600,1600,4400,1600,1600,1000,1600
GASLOG,720,1000,1600,1900,1300,1300,1000,880,880,880,1000,720,590,720,880,480,480,480,590,590,590,480,590,720
