Keyword,Searches: Feb 2014,Searches: Mar 2014,Searches: Apr 2014,Searches: May 2014,Searches: Jun 2014,Searches: Jul 2014,Searches: Aug 2014,Searches: Sep 2014,Searches: Oct 2014,Searches: Nov 2014,Searches: Dec 2014,Searches: Jan 2015,Searches: Feb 2015,Searches: Mar 2015,Searches: Apr 2015,Searches: May 2015,Searches: Jun 2015,Searches: Jul 2015,Searches: Aug 2015,Searches: Sep 2015,Searches: Oct 2015,Searches: Nov 2015,Searches: Dec 2015,Searches: Jan 2016
MEREDITH,12100,9900,12100,12100,12100,12100,12100,14800,14800,12100,14800,14800,14800,18100,14800,14800,14800,14800,14800,18100,18100,14800,14800,18100
LPL FINANCIAL,40500,40500,40500,33100,40500,33100,33100,40500,40500,33100,33100,40500,40500,40500,40500,40500,40500,40500,40500,40500,40500,33100,33100,40500
STRATASYS,18100,18100,18100,14800,14800,18100,18100,22200,22200,18100,18100,22200,27100,22200,22200,18100,18100,18100,14800,14800,18100,14800,12100,14800
MICROSTRATEGY,18100,18100,18100,18100,18100,18100,18100,18100,18100,14800,12100,14800,14800,18100,14800,14800,14800,14800,14800,14800,14800,14800,12100,18100
8X8,22200,22200,22200,22200,22200,22200,22200,22200,27100,22200,22200,27100,22200,27100,27100,27100,27100,27100,27100,27100,27100,27100,27100,27100
KLX,720,880,880,880,1000,1000,1300,1300,1300,1300,2400,2900,2900,2900,2900,3600,2900,2900,3600,3600,3600,2900,2900,3600
SUNPOWER,14800,14800,18100,14800,18100,14800,14800,14800,14800,14800,12100,14800,18100,18100,18100,18100,18100,18100,18100,18100,18100,18100,18100,18100
KENNAMETAL,12100,14800,14800,14800,12100,12100,12100,14800,14800,12100,12100,14800,14800,14800,14800,12100,14800,14800,14800,14800,14800,14800,12100,14800
KORN FERRY,14800,14800,14800,14800,14800,14800,12100,14800,14800,12100,18100,14800,14800,18100,18100,14800,14800,14800,14800,18100,18100,14800,12100,18100
LINDSAY,6600,27100,27100,9900,9900,8100,8100,8100,8100,8100,8100,8100,8100,8100,8100,8100,8100,8100,8100,8100,9900,8100,8100,8100
DIEBOLD,14800,14800,14800,12100,12100,12100,12100,12100,14800,12100,9900,12100,12100,14800,12100,12100,12100,12100,12100,12100,18100,12100,9900,12100
MBIA,3600,4400,2900,3600,5400,3600,3600,2900,4400,2400,1900,2400,2900,4400,3600,4400,4400,4400,3600,2400,2400,2900,2400,2400
SEADRILL,12100,12100,12100,12100,12100,12100,12100,14800,14800,22200,22200,18100,18100,14800,12100,12100,8100,9900,12100,9900,8100,6600,8100,12100
GENWORTH,22200,22200,22200,18100,18100,22200,18100,22200,18100,33100,18100,22200,27100,27100,27100,22200,22200,22200,22200,18100,22200,18100,18100,22200
FTI CONSULTING,14800,14800,14800,14800,14800,14800,14800,22200,18100,14800,14800,18100,18100,18100,18100,14800,14800,14800,14800,22200,18100,14800,14800,18100
STAMPS COM,40500,40500,33100,33100,33100,33100,33100,33100,40500,33100,40500,40500,33100,33100,33100,33100,33100,33100,33100,33100,33100,33100,33100,33100
SYNTEL,3600,4400,4400,3600,4400,4400,4400,4400,4400,3600,3600,4400,4400,4400,6600,5400,6600,5400,5400,5400,5400,4400,3600,4400
AVON PRODUCTS,6600,8100,8100,8100,8100,8100,8100,8100,12100,9900,9900,12100,9900,12100,12100,14800,12100,12100,12100,12100,18100,33100,33100,27100
3D SYSTEMS,22200,22200,22200,14800,18100,18100,14800,14800,22200,18100,18100,18100,18100,18100,18100,14800,14800,14800,14800,12100,14800,12100,9900,12100
EL PASO ELECTRIC,27100,27100,27100,27100,27100,33100,27100,27100,27100,27100,27100,33100,27100,27100,27100,33100,33100,40500,33100,33100,33100,33100,33100,33100
MERITAGE HOMES,27100,33100,33100,27100,27100,33100,27100,27100,27100,27100,22200,33100,33100,33100,33100,33100,27100,33100,33100,27100,27100,27100,27100,33100
CRAY,12100,12100,9900,9900,9900,9900,14800,12100,12100,9900,9900,12100,9900,12100,12100,9900,12100,9900,9900,9900,9900,12100,9900,12100
HYATT HOTELS,18100,22200,18100,18100,22200,22200,22200,18100,18100,14800,14800,18100,18100,22200,22200,22200,27100,27100,27100,22200,22200,18100,18100,22200
FORWARD AIR,18100,18100,18100,18100,18100,18100,18100,22200,22200,18100,22200,22200,22200,33100,27100,27100,27100,27100,27100,27100,27100,22200,22200,22200
ITRON,6600,6600,6600,5400,5400,5400,5400,5400,6600,5400,5400,6600,8100,8100,6600,6600,6600,6600,6600,6600,6600,5400,5400,6600
TETRA TECH,14800,18100,14800,14800,14800,14800,14800,14800,18100,14800,12100,14800,14800,18100,14800,14800,14800,18100,18100,18100,18100,12100,12100,14800
KINDRED HEALTHCARE,22200,27100,22200,27100,27100,27100,27100,22200,27100,22200,22200,27100,27100,27100,27100,22200,22200,22200,22200,18100,22200,22200,18100,27100
DEL MONTE,12100,12100,9900,9900,8100,8100,8100,8100,8100,8100,8100,9900,8100,9900,8100,9900,9900,8100,8100,8100,8100,8100,8100,9900
DORMAN PRODUCTS,12100,14800,14800,14800,14800,18100,18100,18100,18100,18100,14800,18100,18100,18100,18100,18100,18100,22200,18100,18100,22200,18100,18100,22200
AMBARELLA,6600,6600,3600,3600,6600,5400,4400,9900,8100,6600,8100,8100,6600,12100,8100,9900,27100,14800,12100,14800,9900,8100,9900,9900
ACXIOM,14800,27100,18100,22200,14800,14800,18100,14800,14800,12100,12100,14800,14800,14800,14800,14800,14800,14800,12100,14800,14800,12100,9900,12100
UNIFIRST,14800,14800,18100,14800,14800,18100,18100,18100,18100,14800,14800,18100,18100,18100,18100,18100,18100,18100,18100,22200,22200,18100,18100,22200
GANNETT,18100,18100,18100,18100,18100,18100,33100,22200,18100,14800,14800,18100,18100,18100,22200,18100,22200,18100,14800,14800,18100,14800,12100,14800
VIRTUSA,2900,2900,2900,2900,2900,2900,2900,2900,2900,2400,2400,2900,2900,3600,3600,3600,3600,3600,3600,3600,4400,5400,3600,3600
WERNER ENTERPRISES,14800,18100,22200,18100,18100,22200,22200,22200,22200,18100,22200,22200,22200,18100,18100,18100,22200,22200,18100,18100,22200,22200,22200,22200
INFOBLOX,12100,9900,9900,12100,9900,8100,8100,9900,9900,8100,8100,9900,9900,9900,9900,9900,9900,9900,9900,9900,9900,9900,8100,9900
KNIGHT TRANSPORTATION,14800,18100,18100,18100,18100,18100,18100,18100,22200,18100,18100,22200,18100,18100,18100,18100,22200,22200,22200,18100,18100,18100,18100,22200
PINNACLE FINANCIAL PARTNERS,14800,14800,14800,14800,14800,18100,18100,22200,22200,22200,22200,27100,22200,22200,22200,18100,18100,22200,22200,18100,18100,18100,18100,18100
PROOFPOINT,6600,8100,8100,8100,6600,8100,8100,8100,9900,8100,8100,9900,9900,12100,9900,9900,12100,12100,9900,12100,14800,12100,12100,14800
DEMANDWARE,6600,8100,8100,8100,6600,6600,8100,8100,8100,6600,6600,9900,8100,9900,9900,8100,9900,8100,8100,9900,9900,8100,8100,9900
RED ROBIN GOURMET BURGERS,1600,6600,12100,9900,12100,12100,14800,9900,12100,9900,9900,22200,33100,49500,40500,40500,22200,6600,5400,2900,3600,4400,6600,8100
AZZ,3600,4400,4400,4400,4400,4400,4400,4400,4400,3600,3600,4400,3600,4400,3600,3600,4400,4400,4400,4400,4400,4400,4400,4400
AMEDISYS,22200,22200,22200,18100,18100,18100,18100,18100,18100,14800,18100,18100,18100,18100,18100,14800,18100,18100,18100,18100,18100,18100,14800,18100
JOY GLOBAL,5400,6600,6600,6600,6600,6600,5400,6600,6600,6600,6600,8100,6600,8100,8100,6600,8100,8100,8100,14800,9900,8100,9900,9900
NEOGEN,3600,3600,3600,3600,3600,3600,3600,3600,3600,2900,2900,3600,3600,4400,3600,3600,3600,4400,3600,4400,3600,3600,3600,4400
SKYWEST,14800,14800,12100,12100,12100,12100,12100,12100,12100,9900,9900,12100,12100,12100,18100,12100,12100,14800,12100,12100,12100,9900,9900,12100
ADVISORY BOARD,9900,12100,12100,9900,9900,9900,9900,12100,12100,9900,9900,12100,12100,12100,12100,9900,9900,9900,9900,12100,12100,9900,8100,12100
CHEMOURS,0,0,1900,590,320,390,480,720,1300,880,2900,3600,4400,4400,5400,5400,12100,22200,14800,12100,14800,12100,12100,12100
SANMINA,5400,5400,5400,5400,5400,5400,4400,5400,5400,4400,4400,5400,5400,5400,6600,5400,6600,6600,6600,5400,6600,5400,4400,5400
NEUSTAR,12100,12100,14800,14800,14800,12100,12100,14800,14800,9900,8100,9900,12100,18100,12100,9900,12100,12100,9900,9900,12100,14800,9900,12100
REXNORD,6600,8100,8100,8100,8100,8100,8100,8100,8100,6600,6600,8100,8100,8100,8100,8100,8100,8100,8100,8100,8100,6600,6600,8100
POTLATCH,8100,8100,9900,8100,6600,8100,6600,12100,14800,12100,9900,8100,8100,9900,8100,8100,6600,6600,6600,12100,12100,9900,8100,6600
IMPERVA,5400,5400,8100,5400,4400,5400,5400,5400,6600,4400,4400,5400,6600,6600,5400,5400,6600,6600,9900,6600,8100,6600,5400,6600
KAMAN,5400,5400,5400,4400,4400,5400,4400,4400,5400,4400,4400,5400,4400,5400,5400,4400,5400,5400,5400,4400,5400,5400,4400,5400
KNOWLES,4400,4400,4400,6600,3600,4400,3600,4400,4400,5400,4400,4400,4400,4400,5400,4400,4400,4400,3600,3600,4400,3600,3600,3600
SELECT COMFORT,18100,14800,14800,14800,14800,14800,18100,14800,14800,18100,14800,18100,14800,14800,12100,14800,12100,14800,14800,14800,14800,14800,14800,14800
MASTEC,8100,8100,9900,8100,9900,8100,8100,8100,9900,8100,8100,9900,12100,9900,9900,12100,12100,12100,14800,9900,12100,9900,9900,12100
TRUEBLUE,8100,9900,8100,8100,8100,8100,9900,8100,8100,8100,8100,9900,9900,9900,9900,9900,9900,12100,12100,9900,12100,9900,9900,12100
REGAL ENTERTAINMENT GROUP,9900,9900,9900,12100,14800,12100,9900,8100,12100,14800,22200,18100,12100,12100,12100,12100,14800,14800,12100,9900,12100,12100,22200,14800
MASIMO,5400,5400,5400,5400,5400,5400,5400,5400,6600,4400,4400,5400,5400,5400,5400,5400,5400,5400,5400,4400,5400,4400,4400,5400
FRANKLIN ELECTRIC,5400,5400,5400,5400,5400,6600,5400,5400,5400,4400,4400,5400,5400,5400,6600,6600,6600,6600,5400,5400,5400,4400,4400,5400
COOPER STANDARD,4400,5400,4400,4400,4400,4400,4400,4400,4400,3600,2900,4400,3600,4400,4400,4400,4400,4400,5400,5400,4400,3600,3600,5400
AFFYMETRIX,6600,6600,6600,6600,6600,6600,6600,6600,6600,5400,5400,6600,5400,6600,6600,6600,5400,6600,6600,6600,6600,5400,4400,14800
CORE MARK,6600,8100,8100,8100,8100,9900,9900,9900,9900,8100,8100,9900,9900,9900,9900,9900,9900,12100,12100,12100,12100,9900,9900,12100
MOBILE MINI,8100,9900,9900,9900,9900,9900,9900,9900,9900,9900,8100,9900,9900,9900,9900,9900,9900,9900,9900,9900,9900,8100,8100,9900
BELMOND,590,1600,1600,1600,1600,2400,1900,2400,2400,1900,1900,2900,2400,2400,2400,2900,2900,2900,2400,2900,2900,2400,2400,2900
ECHOSTAR,6600,5400,5400,5400,4400,4400,4400,5400,5400,4400,4400,5400,5400,5400,5400,5400,5400,5400,5400,5400,5400,4400,4400,5400
DIGITALGLOBE,5400,165000,12100,9900,9900,9900,12100,6600,5400,5400,5400,5400,6600,6600,6600,5400,5400,5400,6600,5400,6600,4400,4400,5400
PRA GROUP,20,30,70,40,50,260,390,590,720,720,590,1000,1000,1900,1600,2400,1900,1900,1900,1900,1600,2400,1600,2400
EBIX,5400,6600,4400,5400,6600,5400,5400,4400,4400,4400,4400,6600,5400,6600,4400,5400,5400,4400,5400,5400,4400,5400,4400,4400
FIRST MERCHANTS,6600,6600,5400,5400,5400,6600,5400,5400,6600,5400,5400,5400,5400,5400,8100,12100,14800,14800,14800,14800,14800,14800,14800,14800
UBIQUITI NETWORKS,6600,6600,4400,5400,4400,5400,5400,5400,5400,4400,4400,5400,6600,5400,5400,5400,5400,5400,6600,5400,5400,5400,5400,5400
