Keyword,Searches: Mar 2014,Searches: Apr 2014,Searches: May 2014,Searches: Jun 2014,Searches: Jul 2014,Searches: Aug 2014,Searches: Sep 2014,Searches: Oct 2014,Searches: Nov 2014,Searches: Dec 2014,Searches: Jan 2015,Searches: Feb 2015,Searches: Mar 2015,Searches: Apr 2015,Searches: May 2015,Searches: Jun 2015,Searches: Jul 2015,Searches: Aug 2015,Searches: Sep 2015,Searches: Oct 2015,Searches: Nov 2015,Searches: Dec 2015,Searches: Jan 2016,Searches: Feb 2016
land,22200,22200,22200,22200,22200,22200,27100,27100,27100,27100,27100,27100,27100,27100,27100,22200,22200,27100,33100,33100,33100,27100,33100,33100
banks,110000,110000,90500,110000,110000,110000,135000,135000,110000,110000,110000,90500,110000,90500,110000,90500,90500,90500,90500,90500,110000,90500,90500,90500
trucks,90500,90500,90500,74000,74000,90500,90500,90500,90500,90500,110000,110000,110000,90500,90500,90500,90500,90500,110000,110000,110000,110000,135000,110000
military,90500,74000,90500,74000,74000,74000,90500,90500,90500,74000,90500,74000,90500,90500,90500,60500,74000,74000,74000,90500,110000,90500,110000,110000
human resources,60500,60500,60500,49500,60500,60500,74000,74000,60500,60500,74000,74000,74000,74000,60500,60500,60500,74000,74000,74000,74000,74000,90500,90500
accounting,40500,40500,40500,33100,33100,40500,49500,49500,49500,40500,49500,49500,49500,49500,40500,40500,40500,49500,60500,60500,49500,49500,60500,60500
cargo,14800,14800,14800,12100,14800,12100,12100,14800,12100,12100,14800,12100,14800,14800,14800,12100,14800,14800,14800,14800,14800,14800,18100,18100
socks,60500,49500,49500,40500,49500,49500,60500,74000,90500,110000,74000,60500,60500,60500,60500,49500,49500,60500,60500,74000,110000,135000,90500,74000
bars,90500,74000,74000,74000,74000,74000,90500,74000,74000,74000,74000,74000,90500,90500,90500,74000,90500,90500,110000,110000,110000,135000,135000,135000
cotton,33100,33100,33100,22200,18100,22200,33100,40500,40500,33100,33100,33100,40500,40500,40500,27100,22200,27100,33100,40500,40500,33100,40500,40500
defense,18100,18100,18100,14800,18100,18100,27100,27100,22200,22200,22200,22200,22200,22200,22200,18100,18100,27100,40500,40500,40500,40500,40500,40500
bakery,60500,60500,60500,49500,60500,60500,60500,60500,60500,60500,60500,60500,60500,60500,60500,60500,74000,74000,74000,74000,74000,90500,90500,90500
